commit_hash,plan_id,roles,evidence_type,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals
6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,1,creation,plan-file-history,1.0,1.0,True,False
1fcd08274065e59e148cb05d16e592e98f02bced,1,plan-revision,plan-file-history,1.0,1.0,True,False
4f1e2732dc317203bf9fd6f998fe4946be3a760c,1,plan-revision,plan-file-history,1.0,1.0,True,False
a76f2110c364943a6a2b000cd575807b8f75a6e6,2,creation,plan-file-history,1.0,1.0,True,False
6c669809df69c8e7566517df27f84cd4ac85cb37,2,plan-revision,plan-file-history,1.0,1.0,True,False
bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,3,creation,plan-file-history,1.0,1.0,True,False
27b32d888ac16fcaa31f6735b29d960131a8315c,4,creation,plan-file-history,1.0,1.0,True,False
004751dd893b3e1b96ba2e42f9a63fc000d75663,5,creation,plan-file-history,1.0,1.0,True,False
645232c9f5fdbcd436cd208763553a0f163d3f77,5,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
645232c9f5fdbcd436cd208763553a0f163d3f77,5,plan-revision,plan-file-history,1.0,1.0,True,False
80b722ee0e77887149ebfd307538cac12a5907c3,5,plan-revision,plan-file-history,1.0,1.0,True,False
80b722ee0e77887149ebfd307538cac12a5907c3,6,creation,plan-file-history,1.0,1.0,True,False
e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,7,creation,plan-file-history,1.0,1.0,True,False
c56695645a5579bac37f1f716650754ccc5750a1,8,creation,plan-file-history,1.0,1.0,True,False
2d3e003b9689d477939ba8543f037de2cf8068c5,8,plan-revision,plan-file-history,1.0,1.0,True,False
ac28a73112d2a5170ee56f4f05fe6081f4376eb6,9,creation,plan-file-history,1.0,1.0,True,False
83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,9,plan-revision,plan-file-history,1.0,1.0,True,False
68f7c7b1c66c1a7acd0564610efe03ceff89180b,10,creation,plan-file-history,1.0,1.0,True,False
9e1ce62bf296678be8aa16075285d1f9e0cb453c,11,creation,plan-file-history,1.0,1.0,True,False
9e1ce62bf296678be8aa16075285d1f9e0cb453c,11,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,11,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
b4593bad7a73d4737a89fa81f52b0a0c853f2bce,11,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
bba775b507acd848d8bea0c67609752e0d812194,12,creation,plan-file-history,1.0,1.0,True,False
da7b04f7563351b6c4c0883dbcbc16a5e081336a,13,creation,plan-file-history,1.0,1.0,True,False
90ef077070ed157959eed236c4a5edfc023423b8,14,creation,plan-file-history,1.0,1.0,True,False
1276536d7ce542d757187ed8e2a7a229c6741847,15,creation,plan-file-history,1.0,1.0,True,False
1c2bb82cfcda4a8e4043b7e883e42928b18064cf,16,creation,plan-file-history,1.0,1.0,True,False
d0fca7dec639c9bd9845c8efb59147ccd1016e26,17,creation,plan-file-history,1.0,1.0,True,False
41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,18,creation,plan-file-history,1.0,1.0,True,False
27b4d85ec22c4165acb415ef3929bd10d4c35202,19,creation,plan-file-history,1.0,1.0,True,False
603c07621916ecd47e1a9faee08d8c32cd6eebdf,19,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
4e470f0885282d2dfa9bcfc38252ea229589132c,19,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
27b4d85ec22c4165acb415ef3929bd10d4c35202,20,creation,plan-file-history,1.0,1.0,True,False
603c07621916ecd47e1a9faee08d8c32cd6eebdf,20,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
4e470f0885282d2dfa9bcfc38252ea229589132c,20,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
27b4d85ec22c4165acb415ef3929bd10d4c35202,22,creation,plan-file-history,1.0,1.0,True,False
603c07621916ecd47e1a9faee08d8c32cd6eebdf,22,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
4e470f0885282d2dfa9bcfc38252ea229589132c,22,version-addition;plan-revision,plan-file-history,1.0,1.0,True,False
561817a4bca220d705273d6744f1e5756cec418f,21,creation,plan-file-history,1.0,1.0,True,False
f195e03db1cd290792f99f8b880bb69995e28921,23,creation,plan-file-history,1.0,1.0,True,False
b70f6625e06280784004190bcabafe04c96086d3,24,creation,plan-file-history,1.0,1.0,True,False
36c5b18642e6568ca15e897dcae9132a6907e9db,25,creation,plan-file-history,1.0,1.0,True,False
192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,26,creation,plan-file-history,1.0,1.0,True,False
0c2d38575541a8dada750da08698d78e75a4d3f0,26,plan-revision,plan-file-history,1.0,1.0,True,False
d65459355d32c58116293e4f6cce8a759b6d67f5,26,plan-revision,plan-file-history,1.0,1.0,True,False
546e43d639eb9d7eceb46aa966b8a592b187b12c,26,plan-revision,plan-file-history,1.0,1.0,True,False
11ba78598b25840b5e415e7410b8df4b75c964c5,26,plan-revision,plan-file-history,1.0,1.0,True,False
6811df91487bd977d74d60b43af798e9970e5d69,26,plan-revision,plan-file-history,1.0,1.0,True,False
8053109fcb999ee4c2f8a060048b83dbfe4eed81,26,plan-revision,plan-file-history,1.0,1.0,True,False
987ade16137d70327f87ab16fcf3fc874681eba4,27,creation,plan-file-history,1.0,1.0,True,False
452263137775f01b3d4877c28d37aad4dce7884d,28,creation,plan-file-history,1.0,1.0,True,False
8053109fcb999ee4c2f8a060048b83dbfe4eed81,28,plan-revision,plan-file-history,1.0,1.0,True,False
a3d4895796afa545efc1d3c39379220da2c616f3,28,plan-revision,plan-file-history,1.0,1.0,True,False
7a19911399e2e3a8b7ff2d239319a658e793346c,28,plan-revision,plan-file-history,1.0,1.0,True,False
477665910577c41766377204a1abfc8cc7f0dd6d,28,plan-revision,plan-file-history,1.0,1.0,True,False
82c43c94fe7392a5e5551ef1a311c150006ab0f3,29,creation,plan-file-history,1.0,1.0,True,False
d2843d58d7c77e0470d1b467eacf8a956665e2c9,30,creation,plan-file-history,1.0,1.0,True,False
7228297fdfbf05a87af30e5330fdcdd1e908dd84,31,creation,plan-file-history,1.0,1.0,True,False
88d09498e62eed6f088450eb0cf1ec3129a7ad34,32,creation,plan-file-history,1.0,1.0,True,False
29444d740b06ee147a5690f1070d56abfa8be162,33,creation,plan-file-history,1.0,1.0,True,False
80b722ee0e77887149ebfd307538cac12a5907c3,1,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
80b722ee0e77887149ebfd307538cac12a5907c3,2,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
80b722ee0e77887149ebfd307538cac12a5907c3,4,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
80b722ee0e77887149ebfd307538cac12a5907c3,5,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
80b722ee0e77887149ebfd307538cac12a5907c3,6,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,7,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
c56695645a5579bac37f1f716650754ccc5750a1,8,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
94246bbd4bebc8a284577f2d68b82ff5db235599,8,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
ac28a73112d2a5170ee56f4f05fe6081f4376eb6,9,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
ac28a73112d2a5170ee56f4f05fe6081f4376eb6,9,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
0d268f9dbda719319837ad31711eb87f9f166499,9,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
b1c99ff0e11dc7d38d78a51a328115010a433f80,10,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
9e1ce62bf296678be8aa16075285d1f9e0cb453c,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
9e1ce62bf296678be8aa16075285d1f9e0cb453c,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
b4593bad7a73d4737a89fa81f52b0a0c853f2bce,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
f36a117c021f535e956e2d1722625465cd66b2f3,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
2aee7213d2467ac765cf2f834b3e8b0a5409064e,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
a0438824397c29c96ca6c63b48ef501b5d63dffe,11,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
bba775b507acd848d8bea0c67609752e0d812194,12,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
da7b04f7563351b6c4c0883dbcbc16a5e081336a,13,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
90ef077070ed157959eed236c4a5edfc023423b8,14,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,15,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
1c2bb82cfcda4a8e4043b7e883e42928b18064cf,16,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
633671ae999d222fba32fde71594440b8b367350,16,transcript-archive,transcript-archive-provenance,1.0,0.0,False,False
