commit_hash,full_hash,short_hash,author_date,committer_date,subject,body,type,scope,description,breaking,breaking_footers,body_subject_aliases,conventional_parse_status,changed_files,changed_file_count,additions,deletions,code_line_count,test_line_count,docs_line_count,plan_line_count,transcript_line_count,fixture_line_count,fixture_or_binary_change,linked_plan_ids,linked_transcript_ids,parent_theme_ids,theme_coverage_state,total_code_lines_changed,total_test_lines_changed,total_documentation_lines_changed,total_plan_lines,total_transcript_lines,total_visible_conversation_elapsed_seconds,total_assistant_processing_seconds,total_user_response_seconds,back_and_forth_count,allocated_turn_count,unavailable_timing_count,difficulty_inputs,difficulty_score,difficulty_label,difficulty_weight_coverage,confidence_score,warning_count,first_evidence_date,last_evidence_date,link_confidence,link_evidence
2c8445cbde7892ceff58fb58780a79278bcf7d6e,2c8445cbde7892ceff58fb58780a79278bcf7d6e,2c8445c,2026-02-24T14:33:31-08:00,2026-02-24T14:33:31-08:00,Initial Commit,,,,Initial Commit,False,[],[],unparsed,SwiftTag.xcodeproj/project.pbxproj; SwiftTag.xcodeproj/project.xcworkspace/contents.xcworkspacedata; SwiftTag.xcodeproj/xcuserdata/ccm.xcuserdatad/xcschemes/xcschememanagement.plist; SwiftTag/Assets.xcassets/AccentColor.colorset/Contents.json; SwiftTag/Assets.xcassets/AppIcon.appiconset/Contents.json; SwiftTag/Assets.xcassets/Contents.json; SwiftTag/ContentView.swift; SwiftTag/SwiftTagApp.swift; SwiftTagTests/SwiftTagTests.swift; SwiftTagUITests/SwiftTagUITests.swift; SwiftTagUITests/SwiftTagUITestsLaunchTests.swift,11,796,0,684,91,0,0,0,0,False,[],[],"[""project"", ""tags""]",assigned,684.0,91.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 684.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",27.69,Moderate,0.7,1.0,1,2026-02-24,2026-02-24,1.00,one-commit analytical invariant
639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,639e6a2,2026-02-24T16:10:47-08:00,2026-02-24T16:10:47-08:00,Quit app when main window closes,,,,Quit app when main window closes,False,[],[],unparsed,SwiftTag/SwiftTagApp.swift,1,9,0,9,0,0,0,0,0,False,[],[],"[""project"", ""settings"", ""tags""]",assigned,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 9.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",8.65,Low,0.7,1.0,1,2026-02-24,2026-02-24,1.00,one-commit analytical invariant
43285ad34d978291d76ea1cfbeac822c7e09b4d2,43285ad34d978291d76ea1cfbeac822c7e09b4d2,43285ad,2026-02-24T20:34:14-08:00,2026-02-24T20:34:14-08:00,feat(ui): replace tracks list with table and add artist​/venue​/date fields,,feat,ui,replace tracks list with table and add artist​/venue​/date fields,False,[],[],parsed,SwiftTag.xcodeproj/xcshareddata/xcschemes/SwiftTag.xcscheme; SwiftTag.xcodeproj/xcuserdata/ccm.xcuserdatad/xcschemes/xcschememanagement.plist; SwiftTag/ContentView.swift,3,165,5,50,0,0,0,0,0,False,[],[],"[""tags""]",assigned,50.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 50.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",13.99,Low,0.7,1.0,0,2026-02-24,2026-02-24,1.00,one-commit analytical invariant
8f7481796eca68b823fc7aec209bbb51293c7feb,8f7481796eca68b823fc7aec209bbb51293c7feb,8f74817,2026-02-25T15:40:17-08:00,2026-02-25T15:40:17-08:00,feat(ui): add editable track metadata layout with split panes and cover well,,feat,ui,add editable track metadata layout with split panes and cover well,False,[],[],parsed,SwiftTag/ContentView.swift,1,44,4,48,0,0,0,0,0,False,[],[],"[""picture"", ""tags""]",assigned,48.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 48.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",13.7,Low,0.7,1.0,0,2026-02-25,2026-02-25,1.00,one-commit analytical invariant
2781d736d1d22465c49e505f1fdfa9810b4f5107,2781d736d1d22465c49e505f1fdfa9810b4f5107,2781d73,2026-02-25T23:43:46-08:00,2026-02-25T23:43:46-08:00,feat(ui): add selectable tracks with per​-track descriptions and metadata form refinements,,feat,ui,add selectable tracks with per​-track descriptions and metadata form refinements,False,[],[],parsed,SwiftTag/ContentView.swift,1,42,32,74,0,0,0,0,0,False,[],[],"[""applescript"", ""picture"", ""tags""]",assigned,74.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 74.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",16.01,Low,0.7,1.0,0,2026-02-25,2026-02-25,1.00,one-commit analytical invariant
dad9d6e302f63b22f383f5f07d99ec48bade1acc,dad9d6e302f63b22f383f5f07d99ec48bade1acc,dad9d6e,2026-02-26T12:40:03-08:00,2026-02-26T12:40:03-08:00,"feat(ui): add multi​-select track editing and per​-track metadata bindings - Added fields to Track:    - artist, composer, location (replaced venue), date - Removed global artist, venue, date state. - Added multi-selection bindings:    - selected​Artist​Binding, selected​Location​Binding, selected​Date​Binding    - generic helper selected​String​Binding(...) for string fields - Updated UI fields to bind to selected tracks:    - Artist, Composer, Location, Date now edit all selected rows    - When no rows are selected, fields are disabled with placeholder text/messages",,feat,ui,"add multi​-select track editing and per​-track metadata bindings - Added fields to Track:    - artist, composer, location (replaced venue), date - Removed global artist, venue, date state. - Added multi-selection bindings:    - selected​Artist​Binding, selected​Location​Binding, selected​Date​Binding    - generic helper selected​String​Binding(...) for string fields - Updated UI fields to bind to selected tracks:    - Artist, Composer, Location, Date now edit all selected rows    - When no rows are selected, fields are disabled with placeholder text/messages",False,[],[],parsed,SwiftTag/ContentView.swift,1,108,25,133,0,0,0,0,0,False,[],[],"[""applescript"", ""tags""]",assigned,133.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 133.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",19.04,Low,0.7,1.0,0,2026-02-26,2026-02-26,1.00,one-commit analytical invariant
4fd2b5edcbc462961a46e931d880917e5f3470ba,4fd2b5edcbc462961a46e931d880917e5f3470ba,4fd2b5e,2026-02-26T15:26:30-08:00,2026-02-26T15:26:30-08:00,feat(toml): add TOML preview utility window (experimental),,feat,toml,add TOML preview utility window (experimental),False,[],[],parsed,SwiftTag/ContentView.swift; SwiftTag/SwiftTagApp.swift,2,105,0,105,0,0,0,0,0,False,[],[],"[""tags""]",assigned,105.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 105.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",17.6,Low,0.7,1.0,0,2026-02-26,2026-02-26,1.00,one-commit analytical invariant
0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,0c4e80a,2026-02-26T16:01:24-08:00,2026-02-26T16:01:24-08:00,feat(toml​-ui): present ​TOML in sheet rather than utility window,,feat,toml​-ui,present ​TOML in sheet rather than utility window,False,[],[],parsed,SwiftTag/ContentView.swift; SwiftTag/SwiftTagApp.swift,2,18,22,40,0,0,0,0,0,False,[],[],"[""tags""]",assigned,40.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 40.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",13.27,Low,0.7,1.0,0,2026-02-26,2026-02-26,1.00,one-commit analytical invariant
6f2967d87599d562749e274f56e19ecd000bc610,6f2967d87599d562749e274f56e19ecd000bc610,6f2967d,2026-02-26T19:36:58-08:00,2026-02-26T19:36:58-08:00,refactor(toml​-sheet): make ​Show ​TOML window​-scoped with independent sheet state per main window,,refactor,toml​-sheet,make ​Show ​TOML window​-scoped with independent sheet state per main window,False,[],[],parsed,SwiftTag/ContentView.swift; SwiftTag/SwiftTagApp.swift,2,12,33,45,0,0,0,0,0,False,[],[],"[""save"", ""tags""]",assigned,45.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 45.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",13.56,Low,0.7,1.0,0,2026-02-26,2026-02-26,1.00,one-commit analytical invariant
ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,ee7e8fa,2026-02-27T10:07:58-08:00,2026-02-27T10:07:58-08:00,"feat(import): add ​FLAC loader with bundled metaflac parsing, sorted track ingestion, and user​-facing error alerts (experimental)",,feat,import,"add ​FLAC loader with bundled metaflac parsing, sorted track ingestion, and user​-facing error alerts (experimental)",False,[],[],parsed,SwiftTag.xcodeproj/project.pbxproj; SwiftTag/ContentView.swift; SwiftTag/SwiftTagApp.swift,3,242,0,242,0,0,0,0,0,False,[],[],"[""tags""]",assigned,242.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 242.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",22.79,Low,0.7,1.0,0,2026-02-27,2026-02-27,1.00,one-commit analytical invariant
6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,6cf4772,2026-02-27T10:45:47-08:00,2026-02-27T10:45:47-08:00,FLAC C-Bridge Incremental Execution (pre-lib use),,,,FLAC C-Bridge Incremental Execution (pre-lib use),False,[],[],unparsed,BuildScripts/build-libflac.sh; Docs/FLACBridgeExecution.md; SwiftTag.xcodeproj/project.pbxproj; SwiftTag/ContentView.swift; SwiftTag/FLACBridge/include/FlacMetadataBridge.h; SwiftTag/FLACBridge/module.modulemap; SwiftTag/FLACBridge/module.modulemap.template; SwiftTag/FLACBridge/src/FlacMetadataBridge.c; SwiftTag/FLACBridge/src/FlacMetadataBridge.c.template; SwiftTag/FlacMetadataService.swift,10,325,89,315,0,0,24,0,0,False,"[""1""]","[""transcript-2026-02-27-1-1-FLACBridgeExecution""]","[""applescript"", ""flac-lib"", ""tags""]",assigned,315.0,0.0,0.0,24.0,59.9268292714,,,,0.6585365854,1.9756097562000001,1,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.6585365854, ""code_lines"": 315.0, ""elapsed_time"": null, ""plan_lines"": 24.0, ""transcript_lines"": 59.9268292714}",46.97,Moderate,0.7,1.0,1,2026-02-27,2026-02-27,1.00,one-commit analytical invariant
1fcd08274065e59e148cb05d16e592e98f02bced,1fcd08274065e59e148cb05d16e592e98f02bced,1fcd082,2026-02-27T15:07:54-08:00,2026-02-27T15:07:54-08:00,Build ​FLAC from source and link as stais lib • configure FLAC CMake build for app use:    • static lib only (BUILD​_​SHARED​_​LIBS​=​OFF)    • disable programs (BUILD​_​PROGRAMS​=​OFF)    • disable C++ lib (BUILD​_​CXXLIBS​=​OFF)    • disable Ogg dependency (WITH​_​OGG​=​OFF) • remove dependency on bundled prebuilt Resources​/bin FLAC/metaflac artifacts,,,,Build ​FLAC from source and link as stais lib • configure FLAC CMake build for app use:    • static lib only (BUILD​_​SHARED​_​LIBS​=​OFF)    • disable programs (BUILD​_​PROGRAMS​=​OFF)    • disable C++ lib (BUILD​_​CXXLIBS​=​OFF)    • disable Ogg dependency (WITH​_​OGG​=​OFF) • remove dependency on bundled prebuilt Resources​/bin FLAC/metaflac artifacts,False,[],[],unparsed,BuildScripts/build-libflac.sh; Docs/FLACBridgeExecution.md; SwiftTag-Bridging-Header.h; SwiftTag.xcodeproj/project.pbxproj; SwiftTag.xcodeproj/xcshareddata/xcschemes/SwiftTagApp.xcscheme; SwiftTag/FLACBridge/src/FlacMetadataBridge.c; SwiftTag/FLACBridge/src/FlacMetadataBridge.c.template; SwiftTag/FlacMetadataService.swift,8,321,106,264,0,0,3,0,0,False,"[""1""]","[""transcript-2026-02-27-1-1-FLACBridgeExecution""]","[""applescript"", ""flac-lib"", ""tags""]",assigned,264.0,0.0,0.0,3.0,31.0731707286,,,,0.3414634146,1.0243902438,1,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.3414634146, ""code_lines"": 264.0, ""elapsed_time"": null, ""plan_lines"": 3.0, ""transcript_lines"": 31.0731707286}",43.05,Moderate,0.7,1.0,1,2026-02-27,2026-02-27,1.00,one-commit analytical invariant
4f1e2732dc317203bf9fd6f998fe4946be3a760c,4f1e2732dc317203bf9fd6f998fe4946be3a760c,4f1e273,2026-02-27T15:47:27-08:00,2026-02-27T15:47:27-08:00,Cleanup: - Updated bridge include to generated header path:    - FlacMetadataBridge.c:2    - #include <​FLAC​/metadata​.h> - Added app target header search path (Debug + Release):    - project.pbxproj    - HEADER​_​SEARCH​_​PATHS includes $(​DERIVED​_​FILE​_​DIR)/flac​-include - Removed no-longer-used vendored FLAC headers:    - deleted Swift​Tag​/​FLACBridge​/vendor​/​FLAC/* - Removed no-longer-used modulemap artifact:    - deleted module.modulemap - Updated cleanup docs:    - FLACBridgeExecution.md,,cleanup,,- Updated bridge include to generated header path:    - FlacMetadataBridge.c:2    - #include <​FLAC​/metadata​.h> - Added app target header search path (Debug + Release):    - project.pbxproj    - HEADER​_​SEARCH​_​PATHS includes $(​DERIVED​_​FILE​_​DIR)/flac​-include - Removed no-longer-used vendored FLAC headers:    - deleted Swift​Tag​/​FLACBridge​/vendor​/​FLAC/* - Removed no-longer-used modulemap artifact:    - deleted module.modulemap - Updated cleanup docs:    - FLACBridgeExecution.md,False,[],[],parsed,Docs/FLACBridgeExecution.md; SwiftTag.xcodeproj/project.pbxproj; SwiftTag/FLACBridge/module.modulemap; SwiftTag/FLACBridge/module.modulemap.template; SwiftTag/FLACBridge/src/FlacMetadataBridge.c; SwiftTag/FLACBridge/src/FlacMetadataBridge.c.template,6,46,57,63,0,0,40,0,0,False,"[""1""]",[],"[""flac-lib"", ""tags""]",assigned,63.0,0.0,0.0,40.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 63.0, ""elapsed_time"": null, ""plan_lines"": 40.0, ""transcript_lines"": 0.0}",23.27,Low,0.7,1.0,0,2026-02-27,2026-02-27,1.00,one-commit analytical invariant
e382ae31861176bf220f87c7e380b5162331e490,e382ae31861176bf220f87c7e380b5162331e490,e382ae3,2026-02-28T14:22:51-08:00,2026-02-28T14:22:51-08:00,"feat(UI): added separate track number an total fields - Refactored Track to:    - id: ​UUID    - tags: [​String: ​String] - Added tag-key constants (NUMBER, TITLE, FILENAME, ARTIST, COMPOSER, LOCATION, DATE, DESCRIPTION). - Updated table/UI bindings to read/write through tag dictionary. - Replaced keyPath-based selection editing with tag-name-based selection editing. - Updated date handling to store date as tag text (yyyy​-​MM​-dd) and parse/format for UI. - Updated FLAC import to map metadata into tags while preserving required UI fields. - Updated TOML export to read from dictionary-backed tags and sort by numeric NUMBER.",,feat,UI,"added separate track number an total fields - Refactored Track to:    - id: ​UUID    - tags: [​String: ​String] - Added tag-key constants (NUMBER, TITLE, FILENAME, ARTIST, COMPOSER, LOCATION, DATE, DESCRIPTION). - Updated table/UI bindings to read/write through tag dictionary. - Replaced keyPath-based selection editing with tag-name-based selection editing. - Updated date handling to store date as tag text (yyyy​-​MM​-dd) and parse/format for UI. - Updated FLAC import to map metadata into tags while preserving required UI fields. - Updated TOML export to read from dictionary-backed tags and sort by numeric NUMBER.",False,[],[],parsed,SwiftTag/ContentView.swift,1,159,54,213,0,0,0,0,0,False,[],[],"[""applescript"", ""picture"", ""save"", ""tags""]",assigned,213.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 213.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",21.78,Low,0.7,1.0,0,2026-02-28,2026-02-28,1.00,one-commit analytical invariant
c965c3feb354452704670af683ab541da3c43f71,c965c3feb354452704670af683ab541da3c43f71,c965c3f,2026-03-02T13:47:45-08:00,2026-03-02T13:47:45-08:00,Refine tag​-driven track editor and misc tag table behavior,"- migrate track model to dictionary-backed tags with stable id
- keep existing UI functionality mapped to tag keys (TITLE, ARTIST, DATE, etc.)
- remove Number column from tracks table
- bind Number field to selected track NUMBER tag and validate positive integer input
- validate total​Tracks as positive integer string and center-align both numeric fields
- normalize imported track number from TRACKNUMBER/TRACK and strip leading zeros
- add misc​Tags editable table (Key/Value) with multi-select, add, and delete actions
- exclude explicit tag keys from misc tags handling
- misc tags show union of non-explicit tags across all tracks
- show empty value when selected tracks are missing/mixed for a tag
- allow misc tag row creation at any time (even with no selection)
- refresh misc tags after FLAC import so new non-explicit tags appear",,,Refine tag​-driven track editor and misc tag table behavior,False,[],[],unparsed,SwiftTag/ContentView.swift,1,226,20,246,0,0,0,0,0,False,[],"[""transcript-2026-03-02-1-MiscTagEditorDev""]","[""applescript"", ""tags""]",assigned,246.0,0.0,0.0,0.0,148.0,,,,7.0,15.0,8,"{""assistant_processing_time"": null, ""back_and_forth_count"": 7.0, ""code_lines"": 246.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 148.0}",48.32,Moderate,0.7,1.0,1,2026-03-02,2026-03-02,1.00,one-commit analytical invariant
2302109d0c43a41cb71c36e47cf2b4b8973a63d6,2302109d0c43a41cb71c36e47cf2b4b8973a63d6,2302109,2026-03-02T16:22:02-08:00,2026-03-02T16:22:02-08:00,Refine track metadata ​UI and import mapping for discs​/genres​/misc tags - add dictionary-backed handling for new explicit fields: DISC and GENRE - add Disc of total​Discs controls with selected-track binding and numeric validation - style total​Discs in bold red when non-empty TOTALDISCS tags mismatch entered value - add hover help messaging for total tracks/discs consistency indicators - convert total tracks display to read-only track-count text with mismatch highlighting and help,,,,Refine track metadata ​UI and import mapping for discs​/genres​/misc tags - add dictionary-backed handling for new explicit fields: DISC and GENRE - add Disc of total​Discs controls with selected-track binding and numeric validation - style total​Discs in bold red when non-empty TOTALDISCS tags mismatch entered value - add hover help messaging for total tracks/discs consistency indicators - convert total tracks display to read-only track-count text with mismatch highlighting and help,False,[],[],unparsed,SwiftTag/ContentView.swift,1,132,3,135,0,0,0,0,0,False,[],"[""transcript-2026-03-03-1-MiscTagEditorDev""]","[""tags""]",assigned,135.0,0.0,0.0,0.0,80.94871794871796,,,,3.0,6.0,3,"{""assistant_processing_time"": null, ""back_and_forth_count"": 3.0, ""code_lines"": 135.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 80.94871794871796}",40.17,Moderate,0.7,1.0,1,2026-03-02,2026-03-02,1.00,one-commit analytical invariant
b5b4f12719bcc1df96078cbbc79157c47985e637,b5b4f12719bcc1df96078cbbc79157c47985e637,b5b4f12,2026-03-02T22:53:06-08:00,2026-03-02T22:53:06-08:00,"Updated misc​Tags key-entry behavior: • Pressing + creates an empty row and immediately focuses its Key field. • Key field text turns red while the typed key is invalid:    • duplicates another misc row key (normalized comparison)    • matches any explicit​Tag​Keys entry • When key focus leaves:    • if key is empty, row is removed    • if key is invalid on new row (duplicate/explicit/empty), row is removed    • if key is invalid on edit row (duplicate/explicit/empty), key reverts to original pre-edit key    • if key is valid, it is normalized/committed",,,,"Updated misc​Tags key-entry behavior: • Pressing + creates an empty row and immediately focuses its Key field. • Key field text turns red while the typed key is invalid:    • duplicates another misc row key (normalized comparison)    • matches any explicit​Tag​Keys entry • When key focus leaves:    • if key is empty, row is removed    • if key is invalid on new row (duplicate/explicit/empty), row is removed    • if key is invalid on edit row (duplicate/explicit/empty), key reverts to original pre-edit key    • if key is valid, it is normalized/committed",False,[],[],unparsed,SwiftTag/ContentView.swift,1,107,25,132,0,0,0,0,0,False,[],"[""transcript-2026-03-03-1-MiscTagEditorDev""]","[""tags""]",assigned,132.0,0.0,0.0,0.0,32.58974358974359,,,,2.0,4.0,2,"{""assistant_processing_time"": null, ""back_and_forth_count"": 2.0, ""code_lines"": 132.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 32.58974358974359}",36.13,Moderate,0.7,1.0,1,2026-03-02,2026-03-02,1.00,one-commit analytical invariant
f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,f80a21a,2026-03-03T00:50:41-08:00,2026-03-03T00:50:41-08:00,tests(ui): added miscTags table tests,,tests,ui,added miscTags table tests,False,[],[],parsed,SwiftTag/ContentView.swift; SwiftTagUITests/SwiftTagUITests.swift,2,125,0,5,120,0,0,0,0,False,[],[],"[""tags""]",assigned,5.0,120.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 5.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",7.93,Low,0.7,1.0,0,2026-03-03,2026-03-03,1.00,one-commit analytical invariant
9fea9987c80b7709896d6a46e750b0a0c7925c30,9fea9987c80b7709896d6a46e750b0a0c7925c30,9fea998,2026-03-03T01:14:40-08:00,2026-03-03T01:14:40-08:00,build(xcode): add input​/output paths for ​Build lib​FLAC script phase - Declare Build​Scripts​/build​-libflac​.sh as script input - Declare generated lib​FLAC​.a and staged FLAC headers as outputs - Removes “will be run during every build because it does not specify any outputs” warning,,build,xcode,add input​/output paths for ​Build lib​FLAC script phase - Declare Build​Scripts​/build​-libflac​.sh as script input - Declare generated lib​FLAC​.a and staged FLAC headers as outputs - Removes “will be run during every build because it does not specify any outputs” warning,False,[],[],parsed,SwiftTag.xcodeproj/project.pbxproj,1,4,1,5,0,0,0,0,0,False,[],[],"[""project""]",assigned,5.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 5.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",7.93,Low,0.7,1.0,0,2026-03-03,2026-03-03,1.00,one-commit analytical invariant
a28886ff5fcb92bf016b563a5df7785225f80a77,a28886ff5fcb92bf016b563a5df7785225f80a77,a28886f,2026-03-03T01:16:39-08:00,2026-03-03T01:16:39-08:00,build(xcode): add recommended stripping of dead code,,build,xcode,add recommended stripping of dead code,False,[],[],parsed,SwiftTag.xcodeproj/project.pbxproj,1,11,1,12,0,0,0,0,0,False,[],[],"[""project"", ""tags""]",assigned,12.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 0.0, ""code_lines"": 12.0, ""elapsed_time"": null, ""plan_lines"": 0.0, ""transcript_lines"": 0.0}",9.23,Low,0.7,1.0,0,2026-03-03,2026-03-03,1.00,one-commit analytical invariant
