plan_id,commit_hash,short_hash,roles,path,status,additions,deletions,author_date
1,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,6cf4772,creation,Docs/FLACBridgeExecution.md,A,24,0,2026-02-27T10:45:47-08:00
1,1fcd08274065e59e148cb05d16e592e98f02bced,1fcd082,plan-revision,Docs/FLACBridgeExecution.md,M,2,1,2026-02-27T15:07:54-08:00
1,4f1e2732dc317203bf9fd6f998fe4946be3a760c,4f1e273,plan-revision,Docs/FLACBridgeExecution.md,M,19,21,2026-02-27T15:47:27-08:00
2,a76f2110c364943a6a2b000cd575807b8f75a6e6,a76f211,creation,Docs/ContentViewReorganizationPlan.md,A,125,0,2026-03-04T00:18:15-08:00
2,6c669809df69c8e7566517df27f84cd4ac85cb37,6c66980,plan-revision,Docs/ContentViewReorganizationPlan.md,M,3,3,2026-03-04T00:53:04-08:00
3,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,bae266f,creation,Docs/Plans/FlacPictureImportAlbumArtPlan.md,A,116,0,2026-03-05T12:52:09-08:00
4,27b32d888ac16fcaa31f6735b29d960131a8315c,27b32d8,creation,Docs/Plans/4-FlacWriteTagsAndPicturesPlan.md,A,274,0,2026-03-06T11:50:39-08:00
5,004751dd893b3e1b96ba2e42f9a63fc000d75663,004751d,creation,Docs/Plans/5-GitCommitGuidePromptPlan.md,A,252,0,2026-03-06T15:32:27-08:00
5,645232c9f5fdbcd436cd208763553a0f163d3f77,645232c,version-addition;plan-revision,Docs/Plans/5-AddSaveNotificationsPlan.md,A,170,0,2026-03-06T20:47:12-08:00
5,645232c9f5fdbcd436cd208763553a0f163d3f77,645232c,plan-revision,Docs/Plans/5-GitCommitGuidePromptPlan.md,D,0,252,2026-03-06T20:47:12-08:00
5,80b722ee0e77887149ebfd307538cac12a5907c3,80b722e,plan-revision,Docs/Plans/5-AddSaveNotificationsPlan.md,M,5,0,2026-03-09T23:56:06-07:00
6,80b722ee0e77887149ebfd307538cac12a5907c3,80b722e,creation,Docs/Plans/6-AgentsTranscriptSkillPlan.md,A,149,0,2026-03-09T23:56:06-07:00
7,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,e0cd7da,creation,Docs/Plans/7-AddSaveStatusViewPlan.md,A,197,0,2026-03-12T02:05:00-07:00
8,c56695645a5579bac37f1f716650754ccc5750a1,c566956,creation,Docs/Plans/8-AddTrackStatusPlan.md,A,276,0,2026-03-14T01:46:28-07:00
8,2d3e003b9689d477939ba8543f037de2cf8068c5,2d3e003,plan-revision,Docs/Plans/8-AddTrackStatusPlan.md,M,35,10,2026-03-14T14:08:54-07:00
9,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,ac28a73,creation,Docs/Plans/9-AddUIFeedbackSettings.md,A,263,0,2026-03-17T20:58:24-07:00
9,83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6,83083cb,plan-revision,Docs/Plans/9-AddUIFeedbackSettings.md,M,147,251,2026-03-18T11:27:14-07:00
10,68f7c7b1c66c1a7acd0564610efe03ceff89180b,68f7c7b,creation,Docs/Plans/10-AddTrackManagement.md,A,202,0,2026-03-19T14:40:41-07:00
11,9e1ce62bf296678be8aa16075285d1f9e0cb453c,9e1ce62,creation,Docs/Plans/11-v1-AddMultiPicturePerTrackSupport.md,A,235,0,2026-03-23T11:33:46-07:00
11,9e1ce62bf296678be8aa16075285d1f9e0cb453c,9e1ce62,version-addition;plan-revision,Docs/Plans/11-v2-AddMultiPicturePerTrackSupport.md,A,300,0,2026-03-23T11:33:46-07:00
11,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,68e340f,version-addition;plan-revision,Docs/Plans/11-v3-AddMultiPicturePerTrackSupport.md,A,198,0,2026-03-24T12:13:17-07:00
11,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,b4593ba,version-addition;plan-revision,Docs/Plans/11-v4-AddMultiPicturePerTrackSupport.md,A,205,0,2026-03-25T21:15:38-07:00
12,bba775b507acd848d8bea0c67609752e0d812194,bba775b,creation,Docs/Plans/12-AddFLACDocumentOpenSupport.md,A,142,0,2026-04-01T10:00:31-07:00
13,da7b04f7563351b6c4c0883dbcbc16a5e081336a,da7b04f,creation,Docs/Plans/13-AddFLACFingerprintSupport.md,A,133,0,2026-04-01T15:38:29-07:00
14,90ef077070ed157959eed236c4a5edfc023423b8,90ef077,creation,Docs/Plans/14-AddCompilationTag.md,A,196,0,2026-04-01T23:18:26-07:00
15,1276536d7ce542d757187ed8e2a7a229c6741847,1276536,creation,Docs/Plans/15-AddSwiftTagDocumentCreation.md,A,301,0,2026-04-03T15:23:41-07:00
16,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,1c2bb82,creation,Docs/Plans/16-AddSwiftTagDocumentRead.md,A,200,0,2026-04-04T11:43:27-07:00
17,d0fca7dec639c9bd9845c8efb59147ccd1016e26,d0fca7d,creation,Docs/Plans/17-SwiftTagDocumentReadLiveFileResolution.md,A,208,0,2026-04-04T20:42:20-07:00
18,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,41e60a8,creation,Docs/Plans/18-UpdateWindowTitleText.md,A,250,0,2026-04-06T15:54:34-07:00
19,27b4d85ec22c4165acb415ef3929bd10d4c35202,27b4d85,creation,Docs/Plans/19-AddSwiftTagDocumentSaveOptions.md,A,263,0,2026-04-07T23:56:05-07:00
19,603c07621916ecd47e1a9faee08d8c32cd6eebdf,603c076,version-addition;plan-revision,Docs/Plans/20-AddSwiftTagDocumentSaveOptions.md,A,287,0,2026-04-08T22:42:53-07:00
19,4e470f0885282d2dfa9bcfc38252ea229589132c,4e470f0,version-addition;plan-revision,Docs/Plans/22-AddSwiftTagDocumentSaveOptions.md,A,239,0,2026-04-10T00:58:16-07:00
20,27b4d85ec22c4165acb415ef3929bd10d4c35202,27b4d85,creation,Docs/Plans/19-AddSwiftTagDocumentSaveOptions.md,A,263,0,2026-04-07T23:56:05-07:00
20,603c07621916ecd47e1a9faee08d8c32cd6eebdf,603c076,version-addition;plan-revision,Docs/Plans/20-AddSwiftTagDocumentSaveOptions.md,A,287,0,2026-04-08T22:42:53-07:00
20,4e470f0885282d2dfa9bcfc38252ea229589132c,4e470f0,version-addition;plan-revision,Docs/Plans/22-AddSwiftTagDocumentSaveOptions.md,A,239,0,2026-04-10T00:58:16-07:00
22,27b4d85ec22c4165acb415ef3929bd10d4c35202,27b4d85,creation,Docs/Plans/19-AddSwiftTagDocumentSaveOptions.md,A,263,0,2026-04-07T23:56:05-07:00
22,603c07621916ecd47e1a9faee08d8c32cd6eebdf,603c076,version-addition;plan-revision,Docs/Plans/20-AddSwiftTagDocumentSaveOptions.md,A,287,0,2026-04-08T22:42:53-07:00
22,4e470f0885282d2dfa9bcfc38252ea229589132c,4e470f0,version-addition;plan-revision,Docs/Plans/22-AddSwiftTagDocumentSaveOptions.md,A,239,0,2026-04-10T00:58:16-07:00
21,561817a4bca220d705273d6744f1e5756cec418f,561817a,creation,Docs/Plans/21-AddSwiftTagDocumentBookmark.md,A,232,0,2026-04-09T21:37:06-07:00
23,f195e03db1cd290792f99f8b880bb69995e28921,f195e03,creation,Docs/Plans/23-AddSwiftTagDocumentQuickLook.md,A,256,0,2026-04-11T14:31:32-07:00
24,b70f6625e06280784004190bcabafe04c96086d3,b70f662,creation,Docs/Plans/24-AddTrackDurationInfo.md,A,264,0,2026-04-12T09:08:28-07:00
25,36c5b18642e6568ca15e897dcae9132a6907e9db,36c5b18,creation,Docs/Plans/25-AddPictureDescriptionEdit.md,A,223,0,2026-04-14T10:12:52-07:00
26,192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,192eaac,creation,Docs/Plans/26-AddAppleScriptSupport.md,A,265,0,2026-04-19T17:01:56-07:00
26,0c2d38575541a8dada750da08698d78e75a4d3f0,0c2d385,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,12,9,2026-04-22T13:35:01-07:00
26,d65459355d32c58116293e4f6cce8a759b6d67f5,d654593,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,7,5,2026-04-23T01:04:12-07:00
26,546e43d639eb9d7eceb46aa966b8a592b187b12c,546e43d,plan-revision,Docs/Plans/26-AddAppleScriptSupport.md,M,5,0,2026-04-23T23:15:09-07:00
