plan_id,display_title,numeric_order,version_count,source_plan_ids,source_paths,current_source_id,current_source_path,current_source_line_count,creation_commit_id,revision_commit_ids,implementation_commit_ids,transcript_archive_commit_ids,associated_commit_ids,associated_transcript_ids,parent_theme_ids,revision_additions,revision_deletions,direct_plan_lines,direct_transcript_lines,implementation_transcript_lines,implementation_code_lines,implementation_test_lines,implementation_documentation_lines,direct_visible_elapsed_seconds,implementation_visible_elapsed_seconds,total_visible_conversation_elapsed_seconds,total_assistant_processing_seconds,total_user_response_seconds,back_and_forth_count,difficulty_inputs,difficulty_score,difficulty_label,difficulty_weight_coverage,first_evidence_date,last_evidence_date,confidence_score,warning_count
1,FLAC Bridge Build Notes,1,1,"[""1-FLACBridgeExecution""]","[""Docs/Plans/1-FLACBridgeExecution.md""]",1-FLACBridgeExecution,Docs/Plans/1-FLACBridgeExecution.md,23,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,"[""1fcd08274065e59e148cb05d16e592e98f02bced"", ""4f1e2732dc317203bf9fd6f998fe4946be3a760c""]","[""1fcd08274065e59e148cb05d16e592e98f02bced"", ""6cf4772cd3482a0a7ca38f2f613ca64a86da22a1""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""1fcd08274065e59e148cb05d16e592e98f02bced"", ""4f1e2732dc317203bf9fd6f998fe4946be3a760c"", ""6cf4772cd3482a0a7ca38f2f613ca64a86da22a1""]","[""transcript-2026-02-27-1-1-FLACBridgeExecution""]","[""flac-lib""]",45,22,23,59.9268292714,31.0731707286,579.0,0.0,0.0,,,,,,1.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 1.0, ""code_lines"": 579.0, ""elapsed_time"": null, ""plan_lines"": 23, ""transcript_lines"": 91.0}",17.58,Low,0.7,2026-02-27,2026-02-27,1.0,0
2,ContentView Reorganization Plan,2,1,"[""2-ContentViewReorganizationPlan""]","[""Docs/Plans/2-ContentViewReorganizationPlan.md""]",2-ContentViewReorganizationPlan,Docs/Plans/2-ContentViewReorganizationPlan.md,125,a76f2110c364943a6a2b000cd575807b8f75a6e6,"[""6c669809df69c8e7566517df27f84cd4ac85cb37""]","[""6c669809df69c8e7566517df27f84cd4ac85cb37"", ""a76f2110c364943a6a2b000cd575807b8f75a6e6"", ""bae266f0f97e4d7e264cc54628bfaf3cc70a78f7""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""6c669809df69c8e7566517df27f84cd4ac85cb37"", ""a76f2110c364943a6a2b000cd575807b8f75a6e6"", ""bae266f0f97e4d7e264cc54628bfaf3cc70a78f7""]","[""transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md""]","[""project""]",128,3,125,41.166666666666664,180.5,1425.0,101.5,27.5,,,,,,2.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 2.0, ""code_lines"": 1425.0, ""elapsed_time"": null, ""plan_lines"": 125, ""transcript_lines"": 221.66666666666666}",31.82,Moderate,0.7,2026-03-04,2026-03-05,1.0,0
3,FLAC Picture Import + Album Art Assignment Plan,3,1,"[""3-FlacPictureImportAlbumArtPlan""]","[""Docs/Plans/3-FlacPictureImportAlbumArtPlan.md""]",3-FlacPictureImportAlbumArtPlan,Docs/Plans/3-FlacPictureImportAlbumArtPlan.md,116,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,[],"[""bae266f0f97e4d7e264cc54628bfaf3cc70a78f7"", ""6c669809df69c8e7566517df27f84cd4ac85cb37"", ""a76f2110c364943a6a2b000cd575807b8f75a6e6""]",[],"[""6c669809df69c8e7566517df27f84cd4ac85cb37"", ""a76f2110c364943a6a2b000cd575807b8f75a6e6"", ""bae266f0f97e4d7e264cc54628bfaf3cc70a78f7""]","[""transcript-2026-03-04-1-2-ContentViewReorganizationPlan.md""]","[""picture"", ""tags""]",116,0,116,5.846153846933334,19.487179486400002,1425.0,101.5,27.5,,,,,,1.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 1.0, ""code_lines"": 1425.0, ""elapsed_time"": null, ""plan_lines"": 116, ""transcript_lines"": 25.333333333333336}",26.52,Moderate,0.7,2026-03-04,2026-03-05,1.0,0
4,FLAC Write Tags and Pictures Plan,4,1,"[""4-FlacWriteTagsAndPicturesPlan""]","[""Docs/Plans/4-FlacWriteTagsAndPicturesPlan.md""]",4-FlacWriteTagsAndPicturesPlan,Docs/Plans/4-FlacWriteTagsAndPicturesPlan.md,274,27b32d888ac16fcaa31f6735b29d960131a8315c,[],"[""27b32d888ac16fcaa31f6735b29d960131a8315c""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""27b32d888ac16fcaa31f6735b29d960131a8315c""]","[""transcript-2026-03-06-1-4-FlacWriteTagsAndPicturesPlan""]","[""flac-lib"", ""picture"", ""save"", ""tags""]",274,0,274,134.78144329896907,364.21855670103105,1579.0,874.0,107.0,,,,,,15.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 15.0, ""code_lines"": 1579.0, ""elapsed_time"": null, ""plan_lines"": 274, ""transcript_lines"": 499.0000000000001}",53.48,High,0.7,2026-03-06,2026-03-06,1.0,0
5,Add Save Notifications Plan,5,1,"[""5-AddSaveNotificationsPlan""]","[""Docs/Plans/5-AddSaveNotificationsPlan.md""]",5-AddSaveNotificationsPlan,Docs/Plans/5-AddSaveNotificationsPlan.md,175,004751dd893b3e1b96ba2e42f9a63fc000d75663,"[""645232c9f5fdbcd436cd208763553a0f163d3f77"", ""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""004751dd893b3e1b96ba2e42f9a63fc000d75663"", ""645232c9f5fdbcd436cd208763553a0f163d3f77"", ""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""transcript-2026-03-07-1-5-AddSaveNotificationsPlan""]","[""save""]",427,252,175,22.39793281653747,765.6020671834626,394.5,209.0,227.5,,,,,,20.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 20.0, ""code_lines"": 394.5, ""elapsed_time"": null, ""plan_lines"": 175, ""transcript_lines"": 788.0000000000001}",38.79,Moderate,0.7,2026-03-06,2026-03-09,1.0,0
6,Agents Transcript Skill Plan,6,1,"[""6-AgentsTranscriptSkillPlan""]","[""Docs/Plans/6-AgentsTranscriptSkillPlan.md""]",6-AgentsTranscriptSkillPlan,Docs/Plans/6-AgentsTranscriptSkillPlan.md,149,80b722ee0e77887149ebfd307538cac12a5907c3,[],"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""e031a26f031d038fcc430fb7057600f67102ccbe""]","[""80b722ee0e77887149ebfd307538cac12a5907c3""]","[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""e031a26f031d038fcc430fb7057600f67102ccbe""]","[""transcript-2026-03-07-2-6-AgentsTranscriptSkillPlan""]","[""applescript"", ""project""]",149,0,149,84.36974789915966,166.63025210084035,394.5,209.0,439.5,,,,,,8.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 8.0, ""code_lines"": 394.5, ""elapsed_time"": null, ""plan_lines"": 149, ""transcript_lines"": 251.0}",28.64,Moderate,0.7,2026-03-07,2026-03-09,1.0,0
7,Add Save Status View Plan,7,1,"[""7-AddSaveStatusViewPlan""]","[""Docs/Plans/7-AddSaveStatusViewPlan.md""]",7-AddSaveStatusViewPlan,Docs/Plans/7-AddSaveStatusViewPlan.md,197,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,[],"[""e0cd7da70c303f9524054cf6e150d7fbfca3d9d1""]","[""e0cd7da70c303f9524054cf6e150d7fbfca3d9d1""]","[""e0cd7da70c303f9524054cf6e150d7fbfca3d9d1""]","[""transcript-2026-03-12-1-7-AddSaveStatusViewPlan""]","[""diff"", ""save""]",197,0,197,168.07648183556407,367.92351816443596,554.0,243.0,0.0,,,,,,21.0,"{""assistant_processing_time"": null, ""back_and_forth_count"": 21.0, ""code_lines"": 554.0, ""elapsed_time"": null, ""plan_lines"": 197, ""transcript_lines"": 536.0}",41.21,Moderate,0.7,2026-03-12,2026-03-12,1.0,0
8,Add Track Status Plan,8,1,"[""8-AddTrackStatusPlan""]","[""Docs/Plans/8-AddTrackStatusPlan.md""]",8-AddTrackStatusPlan,Docs/Plans/8-AddTrackStatusPlan.md,301,c56695645a5579bac37f1f716650754ccc5750a1,"[""2d3e003b9689d477939ba8543f037de2cf8068c5""]","[""ae13badc1a2a880e7b374fa67010992d398fa737"", ""c56695645a5579bac37f1f716650754ccc5750a1"", ""2d3e003b9689d477939ba8543f037de2cf8068c5""]","[""c56695645a5579bac37f1f716650754ccc5750a1"", ""94246bbd4bebc8a284577f2d68b82ff5db235599""]","[""2d3e003b9689d477939ba8543f037de2cf8068c5"", ""ae13badc1a2a880e7b374fa67010992d398fa737"", ""c56695645a5579bac37f1f716650754ccc5750a1""]","[""transcript-2026-03-13-1-8-AddTrackStatusPlan"", ""transcript-2026-03-14-1-8-AddTrackStatusPlan""]","[""diff"", ""tags""]",311,10,301,147.9687626774848,734.0312373225152,1670.0,1071.0,207.0,11744.0,34067.0,45811.0,5142.0,40669.0,26.0,"{""assistant_processing_time"": 5142.0, ""back_and_forth_count"": 26.0, ""code_lines"": 1670.0, ""elapsed_time"": 45811.0, ""plan_lines"": 301, ""transcript_lines"": 882.0}",84.24,Very High,1.0,2026-03-13,2026-03-14,1.0,0
9,Add UI Feedback Settings Plan,9,1,"[""9-AddUIFeedbackSettings""]","[""Docs/Plans/9-AddUIFeedbackSettings.md""]",9-AddUIFeedbackSettings,Docs/Plans/9-AddUIFeedbackSettings.md,159,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,"[""83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6""]","[""0d268f9dbda719319837ad31711eb87f9f166499"", ""83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6"", ""ac28a73112d2a5170ee56f4f05fe6081f4376eb6""]","[""ac28a73112d2a5170ee56f4f05fe6081f4376eb6"", ""0d268f9dbda719319837ad31711eb87f9f166499""]","[""0d268f9dbda719319837ad31711eb87f9f166499"", ""83083cbcdf9667c18e3a5c3c11c66d2cfa24f4a6"", ""ac28a73112d2a5170ee56f4f05fe6081f4376eb6""]","[""transcript-2026-03-17-1-9-AddUIFeedbackSettings"", ""transcript-2026-03-17-2-9-AddUIFeedbackSettings"", ""transcript-2026-03-18-1-9-AddUIFeedbackSettings""]","[""diff"", ""settings""]",410,251,159,302.87676072363024,534.1232392763698,1717.0,715.0,0.0,19788.0,15821.0,35609.0,5845.0,29764.0,22.0,"{""assistant_processing_time"": 5845.0, ""back_and_forth_count"": 22.0, ""code_lines"": 1717.0, ""elapsed_time"": 35609.0, ""plan_lines"": 159, ""transcript_lines"": 837.0}",76.67,Very High,1.0,2026-03-17,2026-03-18,1.0,0
10,Add Track Management Plan,10,1,"[""10-AddTrackManagement""]","[""Docs/Plans/10-AddTrackManagement.md""]",10-AddTrackManagement,Docs/Plans/10-AddTrackManagement.md,202,68f7c7b1c66c1a7acd0564610efe03ceff89180b,[],"[""68f7c7b1c66c1a7acd0564610efe03ceff89180b""]","[""b1c99ff0e11dc7d38d78a51a328115010a433f80""]","[""68f7c7b1c66c1a7acd0564610efe03ceff89180b""]","[""transcript-2026-03-19-1-10-AddTrackManagement""]","[""tags""]",202,0,202,77.98013245033113,236.0198675496689,932.0,259.0,0.0,4539.0,14538.0,19077.0,2098.0,16979.0,7.0,"{""assistant_processing_time"": 2098.0, ""back_and_forth_count"": 7.0, ""code_lines"": 932.0, ""elapsed_time"": 19077.0, ""plan_lines"": 202, ""transcript_lines"": 314.0}",56.67,High,1.0,2026-03-19,2026-03-19,1.0,0
