left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,2c8445cbde7892ceff58fb58780a79278bcf7d6e,commit,2c8445cbde7892ceff58fb58780a79278bcf7d6e,identity,canonical-git-identity,2c8445cbde7892ceff58fb58780a79278bcf7d6e,,1.0,1.0,False,True,automatic,,,,,,
commit,639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,commit,639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,identity,canonical-git-identity,639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,,1.0,1.0,False,True,automatic,,,,,,
commit,43285ad34d978291d76ea1cfbeac822c7e09b4d2,commit,43285ad34d978291d76ea1cfbeac822c7e09b4d2,identity,canonical-git-identity,43285ad34d978291d76ea1cfbeac822c7e09b4d2,,1.0,1.0,False,True,automatic,,,,,,
commit,8f7481796eca68b823fc7aec209bbb51293c7feb,commit,8f7481796eca68b823fc7aec209bbb51293c7feb,identity,canonical-git-identity,8f7481796eca68b823fc7aec209bbb51293c7feb,,1.0,1.0,False,True,automatic,,,,,,
commit,2781d736d1d22465c49e505f1fdfa9810b4f5107,commit,2781d736d1d22465c49e505f1fdfa9810b4f5107,identity,canonical-git-identity,2781d736d1d22465c49e505f1fdfa9810b4f5107,,1.0,1.0,False,True,automatic,,,,,,
commit,dad9d6e302f63b22f383f5f07d99ec48bade1acc,commit,dad9d6e302f63b22f383f5f07d99ec48bade1acc,identity,canonical-git-identity,dad9d6e302f63b22f383f5f07d99ec48bade1acc,,1.0,1.0,False,True,automatic,,,,,,
commit,4fd2b5edcbc462961a46e931d880917e5f3470ba,commit,4fd2b5edcbc462961a46e931d880917e5f3470ba,identity,canonical-git-identity,4fd2b5edcbc462961a46e931d880917e5f3470ba,,1.0,1.0,False,True,automatic,,,,,,
commit,0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,commit,0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,identity,canonical-git-identity,0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,,1.0,1.0,False,True,automatic,,,,,,
commit,6f2967d87599d562749e274f56e19ecd000bc610,commit,6f2967d87599d562749e274f56e19ecd000bc610,identity,canonical-git-identity,6f2967d87599d562749e274f56e19ecd000bc610,,1.0,1.0,False,True,automatic,,,,,,
commit,ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,commit,ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,identity,canonical-git-identity,ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,,1.0,1.0,False,True,automatic,,,,,,
commit,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,commit,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,identity,canonical-git-identity,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,,1.0,1.0,False,True,automatic,,,,,,
commit,1fcd08274065e59e148cb05d16e592e98f02bced,commit,1fcd08274065e59e148cb05d16e592e98f02bced,identity,canonical-git-identity,1fcd08274065e59e148cb05d16e592e98f02bced,,1.0,1.0,False,True,automatic,,,,,,
commit,4f1e2732dc317203bf9fd6f998fe4946be3a760c,commit,4f1e2732dc317203bf9fd6f998fe4946be3a760c,identity,canonical-git-identity,4f1e2732dc317203bf9fd6f998fe4946be3a760c,,1.0,1.0,False,True,automatic,,,,,,
commit,e382ae31861176bf220f87c7e380b5162331e490,commit,e382ae31861176bf220f87c7e380b5162331e490,identity,canonical-git-identity,e382ae31861176bf220f87c7e380b5162331e490,,1.0,1.0,False,True,automatic,,,,,,
commit,c965c3feb354452704670af683ab541da3c43f71,commit,c965c3feb354452704670af683ab541da3c43f71,identity,canonical-git-identity,c965c3feb354452704670af683ab541da3c43f71,,1.0,1.0,False,True,automatic,,,,,,
commit,2302109d0c43a41cb71c36e47cf2b4b8973a63d6,commit,2302109d0c43a41cb71c36e47cf2b4b8973a63d6,identity,canonical-git-identity,2302109d0c43a41cb71c36e47cf2b4b8973a63d6,,1.0,1.0,False,True,automatic,,,,,,
