commit_hash,short_hash,theme_ids,theme_count,coverage_state
2c8445cbde7892ceff58fb58780a79278bcf7d6e,2c8445c,"[""project"", ""tags""]",2,assigned
639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,639e6a2,"[""project"", ""settings"", ""tags""]",3,assigned
43285ad34d978291d76ea1cfbeac822c7e09b4d2,43285ad,"[""tags""]",1,assigned
8f7481796eca68b823fc7aec209bbb51293c7feb,8f74817,"[""picture"", ""tags""]",2,assigned
2781d736d1d22465c49e505f1fdfa9810b4f5107,2781d73,"[""applescript"", ""picture"", ""tags""]",3,assigned
dad9d6e302f63b22f383f5f07d99ec48bade1acc,dad9d6e,"[""applescript"", ""tags""]",2,assigned
4fd2b5edcbc462961a46e931d880917e5f3470ba,4fd2b5e,"[""tags""]",1,assigned
0c4e80ab485f4ddfd5292c23962ece5bce8ebb9d,0c4e80a,"[""tags""]",1,assigned
6f2967d87599d562749e274f56e19ecd000bc610,6f2967d,"[""save"", ""tags""]",2,assigned
ee7e8faab965a7c2c39bc3ec3f698594d9ce8101,ee7e8fa,"[""tags""]",1,assigned
6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,6cf4772,"[""applescript"", ""flac-lib"", ""tags""]",3,assigned
1fcd08274065e59e148cb05d16e592e98f02bced,1fcd082,"[""applescript"", ""flac-lib"", ""tags""]",3,assigned
4f1e2732dc317203bf9fd6f998fe4946be3a760c,4f1e273,"[""flac-lib"", ""tags""]",2,assigned
e382ae31861176bf220f87c7e380b5162331e490,e382ae3,"[""applescript"", ""picture"", ""save"", ""tags""]",4,assigned
c965c3feb354452704670af683ab541da3c43f71,c965c3f,"[""applescript"", ""tags""]",2,assigned
2302109d0c43a41cb71c36e47cf2b4b8973a63d6,2302109,"[""tags""]",1,assigned
b5b4f12719bcc1df96078cbbc79157c47985e637,b5b4f12,"[""tags""]",1,assigned
f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,f80a21a,"[""tags""]",1,assigned
9fea9987c80b7709896d6a46e750b0a0c7925c30,9fea998,"[""project""]",1,assigned
a28886ff5fcb92bf016b563a5df7785225f80a77,a28886f,"[""project"", ""tags""]",2,assigned
f400158d420b3d62590a7863231b3f4fe603006b,f400158,"[""applescript"", ""picture"", ""save"", ""settings"", ""tags""]",5,assigned
a76f2110c364943a6a2b000cd575807b8f75a6e6,a76f211,"[""project"", ""tags""]",2,assigned
6c669809df69c8e7566517df27f84cd4ac85cb37,6c66980,"[""project"", ""tags""]",2,assigned
94e847e6468708e93ad725939b662235d58aaa17,94e847e,"[""tags""]",1,assigned
bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,bae266f,"[""applescript"", ""flac-lib"", ""picture"", ""tags""]",4,assigned
27b32d888ac16fcaa31f6735b29d960131a8315c,27b32d8,"[""flac-lib"", ""picture"", ""save"", ""settings"", ""tags""]",5,assigned
f7f7e4be43044e840ea69ce6c03d1217b38913ad,f7f7e4b,"[""project"", ""tags""]",2,assigned
5b61279eb659afad29d7c0e59eac297dc9b0505b,5b61279,"[""settings"", ""tags""]",2,assigned
004751dd893b3e1b96ba2e42f9a63fc000d75663,004751d,"[""project""]",1,assigned
645232c9f5fdbcd436cd208763553a0f163d3f77,645232c,"[""save""]",1,assigned
315dd772a284932ebaf5b599e41c6f6dd911a4e4,315dd77,"[""project""]",1,assigned
