theme_id,entity_type,entity_id,relationship_type,evidence_source,confidence,allocation_weight
applescript,commit,2781d736d1d22465c49e505f1fdfa9810b4f5107,include,keywords: script,0.53,0.0
applescript,commit,dad9d6e302f63b22f383f5f07d99ec48bade1acc,include,keywords: selected tracks,0.53,0.0
applescript,commit,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,include,keywords: script,0.53,0.0
applescript,commit,1fcd08274065e59e148cb05d16e592e98f02bced,include,keywords: script,0.53,0.0
applescript,commit,e382ae31861176bf220f87c7e380b5162331e490,include,keywords: script,0.53,0.0
applescript,commit,c965c3feb354452704670af683ab541da3c43f71,include,keywords: selected tracks,0.53,0.0
applescript,commit,9fea9987c80b7709896d6a46e750b0a0c7925c30,exclude,explicit negative Theme edge,1.0,0.0
applescript,commit,f400158d420b3d62590a7863231b3f4fe603006b,include,keywords: picture type,0.53,0.0
applescript,commit,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,include,"keywords: script, picture type",0.61,0.0
applescript,commit,e031a26f031d038fcc430fb7057600f67102ccbe,exclude,explicit negative Theme edge,1.0,0.0
applescript,commit,80b722ee0e77887149ebfd307538cac12a5907c3,include,"keywords: script, editor window",0.61,0.0
applescript,commit,fa93fee5de699542d9c5b51f16ffc9acac505d9c,include,keywords: script,0.53,0.0
applescript,commit,e0cd7da70c303f9524054cf6e150d7fbfca3d9d1,include,keywords: script,0.53,0.0
applescript,commit,c56695645a5579bac37f1f716650754ccc5750a1,include,keywords: script,0.53,0.0
applescript,commit,94246bbd4bebc8a284577f2d68b82ff5db235599,include,keywords: script,0.53,0.0
applescript,commit,ac28a73112d2a5170ee56f4f05fe6081f4376eb6,include,keywords: script,0.53,0.0
applescript,commit,32d8411d0d981716488a64b235fa1c25240b90ba,include,keywords: settings window,0.53,0.0
applescript,commit,0d268f9dbda719319837ad31711eb87f9f166499,include,keywords: script,0.53,0.0
applescript,commit,b1c99ff0e11dc7d38d78a51a328115010a433f80,include,keywords: script,0.53,0.0
applescript,commit,9e1ce62bf296678be8aa16075285d1f9e0cb453c,include,keywords: script,0.53,0.0
applescript,commit,68e340f508e0f0f5b0ac2fbbcae259abf6155b6e,include,keywords: script,0.53,0.0
applescript,commit,b4593bad7a73d4737a89fa81f52b0a0c853f2bce,include,"keywords: script, settings window",0.61,0.0
applescript,commit,f36a117c021f535e956e2d1722625465cd66b2f3,include,keywords: script,0.53,0.0
applescript,commit,2c3898c5b9fee3c3eefa3367c3219b2f4dbd2974,include,keywords: script,0.53,0.0
applescript,commit,ce82bfb0ed6ae71f4fa52b159af692e3b74fe2c7,include,keywords: script,0.53,0.0
applescript,commit,2aee7213d2467ac765cf2f834b3e8b0a5409064e,include,keywords: script,0.53,0.0
applescript,commit,a0438824397c29c96ca6c63b48ef501b5d63dffe,include,keywords: script,0.53,0.0
applescript,commit,bba775b507acd848d8bea0c67609752e0d812194,include,keywords: script,0.53,0.0
applescript,commit,da7b04f7563351b6c4c0883dbcbc16a5e081336a,include,keywords: script,0.53,0.0
applescript,commit,90ef077070ed157959eed236c4a5edfc023423b8,include,keywords: script,0.53,0.0
applescript,commit,bf6d257c8a9a96ec6846d3cac38bd49afd54f83a,include,keywords: script,0.53,0.0
applescript,commit,1c2bb82cfcda4a8e4043b7e883e42928b18064cf,include,keywords: script,0.53,0.0
applescript,commit,633671ae999d222fba32fde71594440b8b367350,include,keywords: script,0.53,0.0
applescript,commit,d0fca7dec639c9bd9845c8efb59147ccd1016e26,include,keywords: script,0.53,0.0
applescript,commit,bc1eaf01993b5f6ef2cc64eef0f6dd4fe66824de,include,keywords: script,0.53,0.0
applescript,commit,575c54bdaeb6d9eda3326eedccc6e2395422094e,include,keywords: script,0.53,0.0
applescript,commit,41e60a87d8b66f2a9ba012f5c5d11b525ab7c759,include,keywords: script,0.53,0.0
applescript,commit,a41be8a2ef85b234f33f4003a47fd3d0117b6e83,include,keywords: script,0.53,0.0
applescript,commit,19369540b1a2f92b3ab4fd1cedb4db7cefe41498,include,keywords: script,0.53,0.0
applescript,commit,ac6148bb93aa6651ba5884d968f1821e107eef34,include,keywords: script,0.53,0.0
applescript,commit,ec63010015b0d8b4b08f578fb82c8526ce872cc6,include,keywords: script,0.53,0.0
applescript,commit,27b4d85ec22c4165acb415ef3929bd10d4c35202,include,keywords: script,0.53,0.0
applescript,commit,603c07621916ecd47e1a9faee08d8c32cd6eebdf,include,keywords: script,0.53,0.0
applescript,commit,92460554b47e6062390266578964fe59fd5af784,include,keywords: script,0.53,0.0
applescript,commit,561817a4bca220d705273d6744f1e5756cec418f,include,keywords: script,0.53,0.0
applescript,commit,3c4cfff64ee127631152a551713977c1ad5a40dd,include,"keywords: script, editor window",0.61,0.0
applescript,commit,4e470f0885282d2dfa9bcfc38252ea229589132c,include,keywords: script,0.53,0.0
applescript,commit,cfba5a1a7b93b8e01d1e1b806a8db413e207ae55,include,keywords: script,0.53,0.0
applescript,commit,29c8eed7decacebe51ab53c9150e9b5b86cd9f3b,include,keywords: script,0.53,0.0
applescript,commit,78b870c79708a25f71251242e16deec289711c28,include,keywords: picture type,0.53,0.0
applescript,commit,f195e03db1cd290792f99f8b880bb69995e28921,include,keywords: script,0.53,0.0
applescript,commit,b70f6625e06280784004190bcabafe04c96086d3,include,keywords: script,0.53,0.0
applescript,commit,36c5b18642e6568ca15e897dcae9132a6907e9db,include,"keywords: script, save scope",0.61,0.0
applescript,commit,4a07659704ab091a117b882a027635c12af8294c,include,"keywords: script, picture type",0.61,0.0
applescript,commit,0539816b5ba23a6e25ff44d6be08444b0f8dd6c7,include,keywords: script,0.53,0.0
applescript,commit,352ff8c562657dc7ed4c0171d4448bdda0bec559,include,keywords: script,0.53,0.0
applescript,commit,f23c8a089f6d5549a597e0635ff808b203a25766,include,keywords: script,0.53,0.0
applescript,commit,192eaacabaecbe09ee3ee59d935f0d3ab2d86a02,include,explicit Theme include,1.0,0.0
applescript,commit,777706cf1432bcd9bbd0ff1d145469d038b76fd3,include,explicit Theme include,1.0,0.0
applescript,commit,bee209c217c6b5fa2c4eaddbddcab99101ee589a,include,explicit Theme include,1.0,0.0
applescript,commit,859a8f570b718d332f3f3814fc621280ae0f077e,include,explicit Theme include,1.0,0.0
applescript,commit,0c2d38575541a8dada750da08698d78e75a4d3f0,include,explicit Theme include,1.0,0.0
applescript,commit,2298c43c00492de67ad920a395d3ec7a8c8fb722,include,explicit Theme include,1.0,0.0
applescript,commit,d65459355d32c58116293e4f6cce8a759b6d67f5,include,explicit Theme include,1.0,0.0
applescript,commit,546e43d639eb9d7eceb46aa966b8a592b187b12c,include,explicit Theme include,1.0,0.0
applescript,commit,c02d65544f4b09ec7b1fa8ca3e5e15204fdd1795,include,explicit Theme include,1.0,0.0
applescript,commit,95957dd6350042cf04715f42d75a708d22bd4af1,include,explicit Theme include,1.0,0.0
applescript,commit,d42524c80ead7c678062531b1a7e72fe58e29d72,include,explicit Theme include,1.0,0.0
applescript,commit,d433bba53b6179aaaf82904aa26a22b18eba3bf0,include,alias: applescript,0.9,0.0
applescript,commit,11ba78598b25840b5e415e7410b8df4b75c964c5,include,explicit Theme include,1.0,0.0
applescript,commit,6811df91487bd977d74d60b43af798e9970e5d69,include,explicit Theme include,1.0,0.0
