transcript_id,turn_id,turn_index,speaker,source_line_start,source_line_end,timestamp,completion_timestamp,body_line_count,assistant_processing_seconds,user_response_seconds,timing_confidence,interrupted
transcript-2026-02-27-1-1-FLACBridgeExecution,transcript-2026-02-27-1-1-FLACBridgeExecution:turn-001,1,User,10,13,,,1,,,unavailable,False
transcript-2026-02-27-1-1-FLACBridgeExecution,transcript-2026-02-27-1-1-FLACBridgeExecution:turn-002,2,Assistant,14,63,,,47,,,unavailable,False
transcript-2026-02-27-1-1-FLACBridgeExecution,transcript-2026-02-27-1-1-FLACBridgeExecution:turn-003,3,Assistant,64,89,,,24,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-001,1,User,12,15,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-002,2,Assistant,16,30,,,12,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-003,3,User,31,34,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-004,4,Assistant,35,41,,,4,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-005,5,User,42,45,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-006,6,Assistant,46,55,,,7,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-007,7,User,56,61,,,3,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-008,8,User,62,65,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-009,9,Assistant,66,86,,,18,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-010,10,User,87,90,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-011,11,Assistant,91,101,,,8,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-012,12,User,102,105,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-013,13,Assistant,106,124,,,16,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-014,14,User,125,128,,,1,,,unavailable,False
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:turn-015,15,Assistant,129,146,,,16,,,unavailable,False
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:turn-001,1,User,12,15,,,1,,,unavailable,False
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:turn-002,2,Assistant,16,36,,,18,,,unavailable,False
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:turn-003,3,User,37,40,,,1,,,unavailable,False
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:turn-004,4,Assistant,41,71,,,28,,,unavailable,False
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:turn-005,5,User,72,77,,,3,,,unavailable,False
