source_type,source_id,category,message,line
commit,2c8445cbde7892ceff58fb58780a79278bcf7d6e,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,639e6a21c2fa231ef59f0c8aab3d67494a0bce8a,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,6cf4772cd3482a0a7ca38f2f613ca64a86da22a1,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,1fcd08274065e59e148cb05d16e592e98f02bced,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,c965c3feb354452704670af683ab541da3c43f71,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,2302109d0c43a41cb71c36e47cf2b4b8973a63d6,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,b5b4f12719bcc1df96078cbbc79157c47985e637,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,f400158d420b3d62590a7863231b3f4fe603006b,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,a76f2110c364943a6a2b000cd575807b8f75a6e6,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,315dd772a284932ebaf5b599e41c6f6dd911a4e4,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,e031a26f031d038fcc430fb7057600f67102ccbe,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,d4f65729d1e61f20ac1eaf10d9e5b13db612d6b9,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,472c0f02b8c8e431c30a0e342fa8aee4bd3f6b63,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,633671ae999d222fba32fde71594440b8b367350,non_conventional_subject,Primary subject does not match conventional commit syntax,
commit,fa39eb8476a30b608351962f31e7e6868495c9eb,non_conventional_subject,Primary subject does not match conventional commit syntax,
transcript,transcript-2026-03-02-1-MiscTagEditorDev,semantic_review_unallocated,No numbered Plan credibly governs this unnumbered development transcript.,
transcript,transcript-2026-03-03-1-MiscTagEditorDev,semantic_review_unallocated,No numbered Plan credibly governs this unnumbered development transcript.,
transcript,transcript-2026-03-23-1-11-AddMultiPicturePerTrackSupport,semantic_review_unallocated,Segments 009-010 describe changes explicitly reverted before surviving commit.,
transcript,transcript-2026-04-04-1-17-SwiftTagDocumentReadLiveFileResolution,semantic_review_unallocated,Segments 002-008 describe failed changes explicitly wiped before Plan 17 implementation.,
transcript,transcript-2026-04-05-2-AddFlacStatusUpdateFix,semantic_review_unallocated,No numbered Plan credibly governs this unnumbered development transcript.,
transcript,transcript-2026-04-06-2-ReuseEmptyEditorIssue,semantic_review_unallocated,Issue investigation has no credible numbered Plan owner.,
transcript,transcript-2026-04-06-3-ReuseEmptyEditorIssue,semantic_review_unallocated,No numbered Plan governs routing/test follow-up.,
transcript,transcript-2026-04-06-4-TestBugFixes,semantic_review_unallocated,Miscellaneous regression fixes have no numbered Plan owner.,
transcript,transcript-2026-04-07-1-TrackFileMonitoringFix,semantic_review_unallocated,Standalone regression fix has no numbered Plan owner.,
transcript,transcript-2026-04-07-2-DocumentPictureDiffFix,semantic_review_unallocated,Standalone document picture-diff fix has no numbered Plan owner.,
transcript,transcript-2026-04-09-1-ExternalDifferenceDetectionFix,semantic_review_unallocated,Standalone sync regression has no numbered Plan owner.,
transcript,transcript-2026-04-09-2-21-AddSwiftTagDocumentBookmark,semantic_review_unallocated,Initial unsaved-dialog filename truncation is standalone work preceding Plan 21.,
transcript,transcript-2026-04-10-1-LaunchOpenFlacOrDocFix,semantic_review_unallocated,Standalone windowing fix has no numbered Plan owner.,
transcript,transcript-2026-04-10-3-AddSwiftTagDocumentSwiftTags,semantic_review_unallocated,Document schema enhancements are not governed by a numbered Plan.,
transcript,transcript-2026-04-10-4-CompilationDisabledAndDiffFix,semantic_review_unallocated,Standalone tag-editor fix has no numbered Plan owner.,
transcript,transcript-2026-04-16-1-InternalExternalDiffUpdateFix,semantic_review_unallocated,First two segments repair independent Finder-open test construction.,
transcript,transcript-2026-04-21-1-26-AddAppleScriptSupport,semantic_review_unallocated,"Stream-info persistence segment belongs to FLAC work, not Plan 26.",
transcript,transcript-2026-04-29-2-26-AddAppleScriptSupport,semantic_review_unallocated,Segments 004-005 are Misc Tags UI work outside Plan 26; Commit ownership is complete.,
transcript,transcript-2026-05-26-1-MiscCleanupAndDocs,semantic_review_unallocated,Maintenance/release session has no credible numbered-Plan owner; Commit ownership is complete.,
transcript,transcript-2026-05-30-1-DiffFormatAndTestFix,semantic_review_unallocated,Maintenance/release session has no credible numbered-Plan owner; Commit ownership is complete.,
transcript,transcript-2026-06-03-1-UpdatesForRelease-1-0-2,semantic_review_unallocated,Maintenance/release session has no credible numbered-Plan owner; Commit ownership is complete.,
